fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	transcriber	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l100-01_estampes_pagode	1: 4/4, 92: 2/4, 93: 4/4, 94: 2/4, 95: 4/4	1: 5	98	98	388.0	98	98	388.0	1913.08	2733	1486	0	0	0	1903	1903	Claude Debussy									2020-11-14	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/7325573		"<b><font size=""28""/><font face=""Arial""/>E S T A M P E S</b>"	"<font face=""Georgia""/>I. Pagodes; <b><font size=""10""/><font face=""Georgia""/>Claude DEBUSSY</b>"		3.6.2	1.2.12	MS3	MS3/l100-01_estampes_pagode.mscx	False	23-99 (B0-D#7)	https://musescore.com/user/2749876		Piano	47-99 (B2-D#7)	Piano	23-80 (B0-G#5)		
l100-02_estampes_soiree	1: 2/4, 109: 3/4, 113: 2/4, 115: 3/4, 119: 2/4	1: 3, 67: 6, 92: 3, 113: 6, 115: 3, 134: 1	136	136	280.0	136	136	280.0	1458.42	2410	835	0	0	0	1903	1903	Claude Debussy	La soirée dans Grenade			L100				Oli 2021	2021-01-06	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6540482		II. La soirée dans Grenade	Estampes 	Debussy, Claude 	3.6.2	1.2.12	MS3	MS3/l100-02_estampes_soiree.mscx	False	25-97 (C#1-C#7)	https://musescore.com/user/4887176		Piano	37-97 (C#2-C#7)	Piano	25-83 (C#1-B5)	Piano	28-54 (E1-F#3)
l100-03_estampes_jardins	1: 2/2	1: 1, 27: 6, 31: 3, 37: 0, 43: -3, 56: 0, 71: 7, 100: 0, 126: 5	157	157	631.0	157	157	631.0	1680.83	2815	2129	0	0	0	1903	1903	Claude Debussy	Estampes	III	 Jardins sous la pluie					"Creative Commons copyright waiver (CC0 1.0 Universal)
"	2021-10-15		Microsoft Windows	http://musescore.com/user/202809/scores/6875432		III. Jardins sous la pluie	Estampes	Claude debussy  (1862 - 1918)	3.6.2	1.2.12	MS3	MS3/l100-03_estampes_jardins.mscx	False	28-95 (E1-B6)	https://musescore.com/user/202809	"Vinckeenbosch from IMSLP #256285.
 https://imslp.org/wiki/Estampes_(Debussy%2C_Claude)"	Piano	30-95 (F#1-B6)	Piano	28-88 (E1-E6)		
