mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	2/2	1	1	1/16			1/16	1		4	52	E3	3	0
1	1	0	1.0	0	0	2/2	2	2	1/4			1/4	1		4	52	E3	3	16
1	1	1/4	0.25	1/16	1/16	2/2	1	1	1/16			1/16	1		4	64	E4	4	1
1	1	1/2	0.25	1/8	1/8	2/2	1	1	1/16			1/16	1		1	55	G3	3	2
1	1	3/4	0.25	3/16	3/16	2/2	1	1	1/16			1/16	1		4	52	E3	3	3
1	1	1	0.25	1/4	1/4	2/2	1	1	1/16			1/16	1		4	52	E3	3	4
1	1	5/4	0.25	5/16	5/16	2/2	1	1	1/16			1/16	1		4	64	E4	4	5
1	1	3/2	0.25	3/8	3/8	2/2	1	1	1/16			1/16	1		1	55	G3	3	6
1	1	7/4	0.25	7/16	7/16	2/2	1	1	1/16			1/16	1		4	52	E3	3	7
1	1	2	0.25	1/2	1/2	2/2	1	1	1/16			1/16	1		6	54	F#3	3	8
1	1	2	0.5	1/2	1/2	2/2	2	2	1/8			1/8	1		6	54	F#3	3	17
1	1	9/4	0.25	9/16	9/16	2/2	1	1	1/16			1/16	1		4	64	E4	4	9
1	1	5/2	0.25	5/8	5/8	2/2	1	1	1/16			1/16	1		3	57	A3	3	10
1	1	11/4	0.25	11/16	11/16	2/2	1	1	1/16			1/16	1		6	54	F#3	3	11
1	1	3	0.25	3/4	3/4	2/2	1	1	1/16			1/16	1		1	55	G3	3	12
1	1	3	0.5	3/4	3/4	2/2	2	2	1/8			1/8	1		1	55	G3	3	18
1	1	13/4	0.25	13/16	13/16	2/2	1	1	1/16			1/16	1		4	64	E4	4	13
1	1	7/2	0.25	7/8	7/8	2/2	1	1	1/16			1/16	1		5	59	B3	3	14
1	1	15/4	0.25	15/16	15/16	2/2	1	1	1/16			1/16	1		1	55	G3	3	15
